id;user_id;site_url;description;refesh_time;music_title;music_path;vb_enabled;use_switch;created_date;crawling_date
1;96892;"Mjeeo6";compressing Cotton Group;TEN;holistic edge;부산;true;true;2023-03-10;2023-03-09
2;35294;"Efp0";Chips Lead 면;ONE;Corporate program GB;gold;true;true;2023-03-09;2023-03-09
3;40021;"Hwxg3";Representative synthesizing system;THIRTY;Licensed 서울;up Virtual;false;false;2023-03-09;2023-03-09
4;82381;"Uofz0";interfaces Bhutan;TEN;Sleek integrated payment;Games;false;true;2023-03-09;2023-03-09
5;61686;"Wgs2";grow web-readiness Re-contextualized;TEN;Jersey fuchsia integrate;대구 index multi-byte;false;false;2023-03-09;2023-03-10
6;93187;"Vuherzi1";mission-critical Personal;TEN;Incredible;Tuna Tasty;false;false;2023-03-09;2023-03-09
7;81499;"Vzamr0";blue Identity;THIRTY;Fantastic;Cambridgeshire 인천 plum;false;false;2023-03-10;2023-03-10
8;63942;"Of5";parsing Rustic Markets;TEN;Games Rubber Intelligent;Pants Home Metal;true;false;2023-03-09;2023-03-10
9;90414;"Fft5";Exclusive Salad deposit;TEN;index;Loan scale Rustic;true;true;2023-03-09;2023-03-10
10;85448;"Civgn4";defect time-frame;TEN;Saint;TCP;true;true;2023-03-09;2023-03-09
